,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,
1,"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,
2,"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,
3,"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,
4,"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,
5,"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,
6,"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,19744,
7,"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,
8,"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,
9,"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,
10,"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,
11,"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,
12,"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,
13,"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,
14,"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,
15,"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,
16,"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,
17,"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,
18,"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,
19,"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,19060,
20,"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,
21,"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,
22,"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,
23,"Fri, Oct 31, 2014",10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,
24,"Fri, Oct 31, 2014",10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,
25,"Fri, Oct 31, 2014",10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,
